,Draft_Year,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP_pg,PTS_pg,TRB_pg,AST_pg,WS,Win_Shares_per_48,BPM,VORP
0,2000,1,NJN,Kenyon Martin,Cincinnati,15,757,23134,9325,5159,1439,0.483,0.234,0.629,30.6,12.3,6.8,1.9,48.0,0.1,0.1,12.1
1,2000,2,VAN,Stromile Swift,LSU,9,547,10804,4582,2535,275,0.473,0.074,0.699,19.8,8.4,4.6,0.5,21.3,0.095,-1.6,1.1
2,2000,3,LAC,Darius Miles,,7,446,11730,4507,2190,840,0.472,0.168,0.59,26.3,10.1,4.9,1.9,9.5,0.039,-1.0,3.0
3,2000,4,CHI,Marcus Fizer,Iowa State,6,289,6032,2782,1340,352,0.435,0.191,0.691,20.9,9.6,4.6,1.2,2.7,0.022,-3.7,-2.6
4,2000,5,ORL,Mike Miller,Florida,17,1032,27812,10973,4376,2666,0.459,0.407,0.769,26.9,10.6,4.2,2.6,60.7,0.105,0.8,19.8
5,2000,6,ATL,DerMarr Johnson,Cincinnati,7,344,5930,2121,769,304,0.411,0.336,0.789,17.2,6.2,2.2,0.9,6.4,0.052,-1.6,0.6
6,2000,7,CHI,Chris Mihm,Texas,8,436,8758,3262,2302,223,0.459,0.231,0.704,20.1,7.5,5.3,0.5,13.3,0.073,-3.9,-4.3
7,2000,8,CLE,Jamal Crawford,Michigan,20,1327,38994,19419,2948,4541,0.41,0.348,0.862,29.4,14.6,2.2,3.4,60.7,0.075,-0.1,18.4
8,2000,9,HOU,Joel Przybilla,Minnesota,13,592,11733,2293,3665,256,0.552,0.0,0.557,19.8,3.9,6.2,0.4,23.0,0.094,-1.7,0.8
9,2000,10,ORL,Keyon Dooling,Missouri,13,728,14134,5067,964,1601,0.416,0.349,0.799,19.4,7.0,1.3,2.2,18.5,0.063,-2.0,-0.2
10,2000,11,BOS,Jérôme Moïso,UCLA,5,145,1392,386,395,38,0.489,0.0,0.593,9.6,2.7,2.7,0.3,2.1,0.074,-2.9,-0.3
11,2000,12,DAL,Etan Thomas,Syracuse,9,409,7084,2341,1927,149,0.513,0.0,0.603,17.3,5.7,4.7,0.4,14.9,0.101,-2.1,-0.2
12,2000,13,ORL,Courtney Alexander,Fresno State,3,187,4067,1690,409,227,0.422,0.339,0.813,21.7,9.0,2.2,1.2,4.1,0.048,-3.7,-1.7
13,2000,14,DET,Mateen Cleaves,Michigan State,6,167,1863,609,175,310,0.389,0.267,0.728,11.2,3.6,1.0,1.9,-0.8,-0.021,-5.6,-1.7
14,2000,15,MIL,Jason Collier,Georgia Tech,5,151,2178,841,443,51,0.455,0.35,0.738,14.4,5.6,2.9,0.3,1.9,0.042,-5.4,-1.9
15,2000,16,SAC,Hedo Türkoğlu,,15,997,26695,11022,3971,2832,0.426,0.384,0.784,26.8,11.1,4.0,2.8,63.3,0.114,0.9,19.6
16,2000,17,SEA,Desmond Mason,Oklahoma State,10,643,19641,7767,2863,1049,0.449,0.26,0.74,30.5,12.1,4.5,1.6,23.1,0.056,-2.4,-2.1
